WMO,Total Energy [kBtu],geometry,buffer_size,streets_intersection,streets_length,avg_canopy,mode_landcover,building_count,building_area,water_area,avg_lst
727930,51530.0,"POLYGON ((-122.31391016847155 47.44399999999999, -122.31391060103493 47.44399402670904, -122.3139118945592 47.443988110943486, -122.31391403658702 47.4439823096754, -122.31391700648949 47.4439766787742, -122.31392077566485 47.44397127246863, -122.31392530781388 47.443966142824436, -122.31393055928946 47.44396133924298, -122.31393647951708 47.44395690798549, -122.31394301148164 47.44395289172748, -122.3139500922768 47.44394932914781, -122.31395765371062 47.443946254556174, -122.31396562296234 47.44394369756266, -122.31397392328374 47.44394168279257, -122.31398247473817 47.44394022964932, -122.31399119497046 47.443939352127536, -122.314 47.44393905867826, -122.3140088050295 47.443939352127536, -122.31401752526179 47.44394022964932, -122.31402607671622 47.44394168279257, -122.3140343770376 47.44394369756266, -122.31404234628933 47.443946254556174, -122.31404990772316 47.44394932914781, -122.31405698851832 47.44395289172748, -122.31406352048288 47.44395690798549, -122.31406944071048 47.44396133924298, -122.31407469218608 47.443966142824436, -122.3140792243351 47.44397127246863, -122.31408299351045 47.4439766787742, -122.31408596341294 47.4439823096754, -122.31408810544076 47.443988110943486, -122.31408939896502 47.44399402670904, -122.3140898315284 47.44399999999999, -122.31408939896502 47.44400597329025, -122.31408810544076 47.44401188905379, -122.31408596341294 47.4440176903186, -122.31408299351045 47.444023321215376, -122.3140792243351 47.44402872751555, -122.31407469218608 47.44403385715361, -122.31406944071048 47.4440386607284, -122.31406352048288 47.444043091978976, -122.31405698851832 47.444047108230066, -122.31404990772316 47.444050670803065, -122.31404234628933 47.44405374538856, -122.3140343770376 47.4440563023767, -122.31402607671622 47.444058317142364, -122.31401752526179 47.444059770282315, -122.3140088050295 47.44406064780208, -122.314 47.4440609412507, -122.31399119497046 47.44406064780208, -122.31398247473817 47.444059770282315, -122.31397392328374 47.444058317142364, -122.31396562296234 47.4440563023767, -122.31395765371062 47.44405374538856, -122.3139500922768 47.444050670803065, -122.31394301148164 47.444047108230066, -122.31393647951708 47.444043091978976, -122.31393055928946 47.4440386607284, -122.31392530781388 47.44403385715361, -122.31392077566485 47.44402872751555, -122.31391700648949 47.444023321215376, -122.31391403658702 47.4440176903186, -122.3139118945592 47.44401188905379, -122.31391060103493 47.44400597329025, -122.31391016847155 47.44399999999999))",10,LINESTRING Z EMPTY,0.0,,,0,0.0,0.0,
727939,50224.89,"POLYGON ((-122.4205101684716 47.57626999999999, -122.42051060103496 47.576264041836254, -122.4205118945592 47.57625814105221, -122.42051403658704 47.57625235447568, -122.42051700648953 47.57624673783458, -122.42052077566488 47.57624134522033, -122.42052530781389 47.57623622856681, -122.4205305592895 47.576231437150305, -122.4205364795171 47.57622701711483, -122.42054301148168 47.57622301102788, -122.42055009227683 47.576219457470344, -122.42055765371063 47.57621639066503, -122.42056562296239 47.57621384014701, -122.42057392328377 47.57621183047929, -122.4205824747382 47.57621038101609, -122.42059119497048 47.5762095057166, -122.4206 47.576209213010465, -122.42060880502952 47.5762095057166, -122.4206175252618 47.57621038101609, -122.42062607671623 47.57621183047929, -122.42063437703762 47.57621384014701, -122.42064234628934 47.57621639066503, -122.42064990772317 47.576219457470344, -122.42065698851832 47.57622301102788, -122.4206635204829 47.57622701711483, -122.4206694407105 47.576231437150305, -122.42067469218611 47.57623622856681, -122.42067922433512 47.57624134522033, -122.42068299351047 47.57624673783458, -122.42068596341296 47.57625235447568, -122.4206881054408 47.57625814105221, -122.42068939896504 47.576264041836254, -122.4206898315284 47.57626999999999, -122.42068939896504 47.57627595816306, -122.4206881054408 47.57628185894508, -122.42068596341296 47.576287645518335, -122.42068299351047 47.576293262155005, -122.42067922433512 47.576298654763875, -122.42067469218611 47.576303771411254, -122.4206694407105 47.57630856282111, -122.4206635204829 47.57631298284965, -122.42065698851832 47.57631698892968, -122.42064990772317 47.57632054248055, -122.42064234628934 47.57632360927975, -122.42063437703762 47.57632615979238, -122.42062607671623 47.57632816945568, -122.4206175252618 47.5763296189156, -122.42060880502952 47.57633049421307, -122.4206 47.57633078691853, -122.42059119497048 47.57633049421307, -122.4205824747382 47.5763296189156, -122.42057392328377 47.57632816945568, -122.42056562296239 47.57632615979238, -122.42055765371063 47.57632360927975, -122.42055009227683 47.57632054248055, -122.42054301148168 47.57631698892968, -122.4205364795171 47.57631298284965, -122.4205305592895 47.57630856282111, -122.42052530781389 47.576303771411254, -122.42052077566488 47.576298654763875, -122.42051700648953 47.576293262155005, -122.42051403658704 47.576287645518335, -122.4205118945592 47.57628185894508, -122.42051060103496 47.57627595816306, -122.4205101684716 47.57626999999999))",10,LINESTRING Z EMPTY,0.0,,,0,7.377067906099746e-09,1.712738960287431e-08,
746938,51919.64,"POLYGON ((-122.26041016847158 47.686189999999996, -122.26041060103493 47.68618405443115, -122.2604118945592 47.686178166120705, -122.26041403658702 47.68617239177635, -122.2604170064895 47.68616678700822, -122.26042077566488 47.68616140579335, -122.26042530781389 47.68615629995587, -122.26043055928947 47.68615151866787, -122.26043647951708 47.68614710797586, -122.26044301148166 47.68614311035732, -122.2604500922768 47.68613956431161, -122.26045765371063 47.686136503989175, -122.26046562296236 47.686133958862676, -122.26047392328374 47.68613195344315, -122.2604824747382 47.686130507043956, -122.26049119497046 47.68612963359475, -122.2605 47.68612934150736, -122.26050880502952 47.68612963359475, -122.2605175252618 47.686130507043956, -122.26052607671622 47.68613195344315, -122.26053437703762 47.686133958862676, -122.26054234628934 47.686136503989175, -122.26054990772317 47.68613956431161, -122.26055698851832 47.68614311035732, -122.26056352048288 47.68614710797586, -122.2605694407105 47.68615151866787, -122.26057469218608 47.68615629995587, -122.2605792243351 47.68616140579335, -122.26058299351047 47.68616678700822, -122.26058596341294 47.68617239177635, -122.26058810544077 47.686178166120705, -122.26058939896502 47.68618405443115, -122.2605898315284 47.686189999999996, -122.26058939896502 47.686195945568166, -122.26058810544077 47.68620183387659, -122.26058596341294 47.686207608217664, -122.26058299351047 47.68621321298139, -122.2605792243351 47.686218594190876, -122.26057469218608 47.686223700022225, -122.2605694407105 47.686228481303566, -122.26056352048288 47.68623289198865, -122.26055698851832 47.68623688960025, -122.26054990772317 47.68624043563932, -122.26054234628934 47.68624349595562, -122.26053437703762 47.68624604107675, -122.26052607671622 47.68624804649185, -122.2605175252618 47.68624949288777, -122.26050880502952 47.68625036633496, -122.2605 47.68625065842167, -122.26049119497046 47.68625036633496, -122.2604824747382 47.68624949288777, -122.26047392328374 47.68624804649185, -122.26046562296236 47.68624604107675, -122.26045765371063 47.68624349595562, -122.2604500922768 47.68624043563932, -122.26044301148166 47.68623688960025, -122.26043647951708 47.68623289198865, -122.26043055928947 47.686228481303566, -122.26042530781389 47.686223700022225, -122.26042077566488 47.686218594190876, -122.2604170064895 47.68621321298139, -122.26041403658702 47.686207608217664, -122.2604118945592 47.68620183387659, -122.26041060103493 47.686195945568166, -122.26041016847158 47.686189999999996))",10,"LINESTRING (-13609985.08042148 6023198.991399175, -13609978.984518098 6023199.056755227, -13609968.236113155 6023199.172041079)",16.84527691723448,,,0,0.0,0.0,
727934,50074.66,"POLYGON ((-122.21391016847159 47.492999999999995, -122.21391060103494 47.49299403230934, -122.2139118945592 47.49298812209013, -122.21391403658703 47.49298232626105, -122.21391700648952 47.49297670063914, -122.21392077566489 47.49297129940227, -122.21392530781388 47.4929661745674, -122.2139305592895 47.492961375489564, -122.21393647951709 47.49295694838662, -122.21394301148167 47.49295293589406, -122.21395009227682 47.4929493766545, -122.21395765371062 47.492946304945455, -122.21396562296238 47.492943750349255, -122.21397392328377 47.49294173746813, -122.21398247473819 47.4929402856873, -122.21399119497048 47.49293940898823, -122.214 47.49293911581406, -122.21400880502951 47.49293940898823, -122.2140175252618 47.4929402856873, -122.21402607671622 47.49294173746813, -122.2140343770376 47.492943750349255, -122.21404234628933 47.492946304945455, -122.21404990772317 47.4929493766545, -122.21405698851832 47.49295293589406, -122.21406352048291 47.49295694838662, -122.21406944071049 47.492961375489564, -122.2140746921861 47.4929661745674, -122.21407922433511 47.49297129940227, -122.21408299351046 47.49297670063914, -122.21408596341297 47.49298232626105, -122.2140881054408 47.49298812209013, -122.21408939896503 47.49299403230934, -122.21408983152841 47.492999999999995, -122.21408939896503 47.49300596768997, -122.2140881054408 47.493011877907165, -122.21408596341297 47.49301767373296, -122.21408299351046 47.49302329935046, -122.21407922433511 47.49302870058194, -122.2140746921861 47.49303382541068, -122.21406944071049 47.49303862448185, -122.21406352048291 47.49304305157787, -122.21405698851832 47.4930470640635, -122.21404990772317 47.4930506232964, -122.21404234628933 47.49305369499929, -122.2140343770376 47.493056249590126, -122.21402607671622 47.493058262466825, -122.2140175252618 47.493059714244374, -122.21400880502951 47.493060590941425, -122.214 47.49306088411491, -122.21399119497048 47.493060590941425, -122.21398247473819 47.493059714244374, -122.21397392328377 47.493058262466825, -122.21396562296238 47.493056249590126, -122.21395765371062 47.49305369499929, -122.21395009227682 47.4930506232964, -122.21394301148167 47.4930470640635, -122.21393647951709 47.49304305157787, -122.2139305592895 47.49303862448185, -122.21392530781388 47.49303382541068, -122.21392077566489 47.49302870058194, -122.21391700648952 47.49302329935046, -122.21391403658703 47.49301767373296, -122.2139118945592 47.493011877907165, -122.21391060103494 47.49300596768997, -122.21391016847159 47.492999999999995))",10,LINESTRING Z EMPTY,0.0,,,0,0.0,0.0,
994014,48629.95,"POLYGON ((-122.33791016847157 47.60499999999999, -122.33791060103495 47.60499404512611, -122.3379118945592 47.60498814760025, -122.33791403658704 47.60498236421885, -122.3379170064895 47.60497675067906, -122.33792077566487 47.604971361042395, -122.33792530781389 47.60496624721411, -122.33793055928948 47.60496145844323, -122.33793647951707 47.60495704084834, -122.33794301148166 47.604953036973384, -122.33795009227681 47.604949485377986, -122.33795765371063 47.60494642026604, -122.33796562296236 47.60494387115633, -122.33797392328376 47.60494186259825, -122.33798247473817 47.604940413935395, -122.33799119497046 47.60493953911922, -122.33799999999998 47.6049392465747, -122.33800880502952 47.60493953911922, -122.33801752526178 47.604940413935395, -122.3380260767162 47.60494186259825, -122.33803437703762 47.60494387115633, -122.33804234628934 47.60494642026604, -122.33804990772315 47.604949485377986, -122.3380569885183 47.604953036973384, -122.33806352048289 47.60495704084834, -122.3380694407105 47.60496145844323, -122.3380746921861 47.60496624721411, -122.33807922433509 47.604971361042395, -122.33808299351047 47.60497675067906, -122.33808596341295 47.60498236421885, -122.33808810544078 47.60498814760025, -122.33808939896504 47.60499404512611, -122.33808983152839 47.60499999999999, -122.33808939896504 47.60500595487318, -122.33808810544078 47.60501185239701, -122.33808596341295 47.60501763577515, -122.33808299351047 47.605023249310534, -122.33807922433509 47.605028638941796, -122.3380746921861 47.605033752763966, -122.3380694407105 47.60503854152819, -122.33806352048289 47.60504295911614, -122.3380569885183 47.60504696298417, -122.33804990772315 47.6050505145729, -122.33804234628934 47.605053579678724, -122.33803437703762 47.60505612878306, -122.3380260767162 47.60505813733671, -122.33801752526178 47.60505958599629, -122.33800880502952 47.60506046081045, -122.33799999999998 47.60506075335429, -122.33799119497046 47.60506046081045, -122.33798247473817 47.60505958599629, -122.33797392328376 47.60505813733671, -122.33796562296236 47.60505612878306, -122.33795765371063 47.605053579678724, -122.33795009227681 47.6050505145729, -122.33794301148166 47.60504696298417, -122.33793647951707 47.60504295911614, -122.33793055928948 47.60503854152819, -122.33792530781389 47.605033752763966, -122.33792077566487 47.605028638941796, -122.3379170064895 47.605023249310534, -122.33791403658704 47.60501763577515, -122.3379118945592 47.60501185239701, -122.33791060103495 47.60500595487318, -122.33791016847157 47.60499999999999))",10,"MULTILINESTRING ((-13618603.583559012 6009809.4059417555, -13618604.003964787 6009810.085257644), (-13618604.003964787 6009810.085257644, -13618604.00388225 6009810.085308747), (-13618604.00388225 6009810.085308747, -13618594.475830555 6009815.984635695), (-13618605.000926562 6009809.463437932, -13618604.003964787 6009810.085257644), (-13618604.003851999 6009810.085259852, -13618604.00388225 6009810.085308747), (-13618604.00388225 6009810.085308747, -13618612.6811354 6009824.110678481))",29.673126041265192,0.0,24.0,0,0.0,0.0,32.61558840000003
994350,49613.79,"POLYGON ((-122.4352101684716 47.66199999999999, -122.43521060103495 47.66199405165756, -122.4352118945592 47.661988160600224, -122.43521403658704 47.66198238356214, -122.43521700648954 47.661976776179394, -122.43522077566489 47.6619713924542, -122.4352253078139 47.66196628423486, -122.43523055928948 47.661961500716394, -122.4352364795171 47.66195708796682, -122.43524301148169 47.66195308848339, -122.43525009227683 47.66194954078345, -122.43525765371064 47.661946479033375, -122.43526562296239 47.66194393271958, -122.43527392328379 47.661941926364534, -122.4352824747382 47.66194047929059, -122.43529119497047 47.661939605433936, -122.43530000000001 47.66193931321028, -122.43530880502952 47.661939605433936, -122.43531752526181 47.66194047929059, -122.43532607671624 47.661941926364534, -122.43533437703762 47.66194393271958, -122.43534234628935 47.661946479033375, -122.43534990772318 47.66194954078345, -122.43535698851834 47.66195308848339, -122.43536352048292 47.66195708796682, -122.4353694407105 47.661961500716394, -122.43537469218612 47.66196628423486, -122.43537922433512 47.6619713924542, -122.43538299351047 47.661976776179394, -122.43538596341298 47.66198238356214, -122.43538810544078 47.661988160600224, -122.43538939896504 47.66199405165756, -122.43538983152841 47.66199999999999, -122.43538939896504 47.66200594834176, -122.43538810544078 47.66201183939707, -122.43538596341298 47.66201761643187, -122.43538299351047 47.6620232238102, -122.43537922433512 47.66202860753002, -122.43537469218612 47.662033715743235, -122.4353694407105 47.66203849925503, -122.43536352048292 47.66204291199769, -122.43535698851834 47.662046911474185, -122.43534990772318 47.66205045916746, -122.43534234628935 47.66205352091141, -122.43533437703762 47.66205606721983, -122.43532607671624 47.66205807357046, -122.43531752526181 47.66205952064112, -122.43530880502952 47.66206039449576, -122.43530000000001 47.662060686718725, -122.43529119497047 47.66206039449576, -122.4352824747382 47.66205952064112, -122.43527392328379 47.66205807357046, -122.43526562296239 47.66205606721983, -122.43525765371064 47.66205352091141, -122.43525009227683 47.66205045916746, -122.43524301148169 47.662046911474185, -122.4352364795171 47.66204291199769, -122.43523055928948 47.66203849925503, -122.4352253078139 47.662033715743235, -122.43522077566489 47.66202860753002, -122.43521700648954 47.6620232238102, -122.43521403658704 47.66201761643187, -122.4352118945592 47.66201183939707, -122.43521060103495 47.66200594834176, -122.4352101684716 47.66199999999999))",10,LINESTRING Z EMPTY,0.0,,,0,0.0,0.0,
727935,50751.23,"POLYGON ((-122.30091016847157 47.529999999999994, -122.30091060103496 47.52999403654097, -122.3009118945592 47.52998813051265, -122.30091403658705 47.529982338793324, -122.30091700648951 47.529976717160494, -122.30092077566488 47.52997131975361, -122.3009253078139 47.52996619855269, -122.30093055928948 47.529961402877845, -122.3009364795171 47.5299569789141, -122.30094301148166 47.52995296926677, -122.3009500922768 47.529949412551034, -122.30095765371064 47.529946343020114, -122.30096562296237 47.52994379023536, -122.30097392328376 47.52994177878155, -122.30098247473818 47.52994032803015, -122.30099119497046 47.52993945195276, -122.30100000000002 47.52993915898647, -122.30100880502953 47.52993945195276, -122.30101752526181 47.52994032803015, -122.30102607671624 47.52994177878155, -122.30103437703762 47.52994379023536, -122.30104234628935 47.529946343020114, -122.30104990772318 47.529949412551034, -122.30105698851833 47.52995296926677, -122.3010635204829 47.5299569789141, -122.3010694407105 47.529961402877845, -122.30107469218609 47.52996619855269, -122.30107922433513 47.52997131975361, -122.30108299351048 47.529976717160494, -122.30108596341296 47.529982338793324, -122.30108810544078 47.52998813051265, -122.30108939896505 47.52999403654097, -122.30108983152842 47.529999999999994, -122.30108939896505 47.53000596345833, -122.30108810544078 47.530011869484625, -122.30108596341296 47.53001766120067, -122.30108299351048 47.53002328282909, -122.30107922433513 47.5300286802306, -122.30107469218609 47.53003380142537, -122.3010694407105 47.53003859709356, -122.3010635204829 47.53004302105037, -122.30105698851833 47.530047030690774, -122.30104990772318 47.53005058739985, -122.30104234628935 47.53005365692463, -122.30103437703762 47.530056209704014, -122.30102607671624 47.53005822115341, -122.30101752526181 47.53005967190152, -122.30100880502953 47.530060547976895, -122.30100000000002 47.530060840942504, -122.30099119497046 47.530060547976895, -122.30098247473818 47.53005967190152, -122.30097392328376 47.53005822115341, -122.30096562296237 47.530056209704014, -122.30095765371064 47.53005365692463, -122.3009500922768 47.53005058739985, -122.30094301148166 47.530047030690774, -122.3009364795171 47.53004302105037, -122.30093055928948 47.53003859709356, -122.3009253078139 47.53003380142537, -122.30092077566488 47.5300286802306, -122.30091700648951 47.53002328282909, -122.30091403658705 47.53001766120067, -122.3009118945592 47.530011869484625, -122.30091060103496 47.53000596345833, -122.30091016847157 47.529999999999994))",10,LINESTRING Z EMPTY,0.0,,,0,0.0,0.0,
727930,51530.0,"POLYGON ((-122.31364067388633 47.44399999999999, -122.31364240413977 47.44397610683212, -122.31364757823684 47.44395244375775, -122.31365614634814 47.443929238665696, -122.31366802595808 47.44390671503444, -122.31368310265951 47.44388508977986, -122.31370123125559 47.44386457116624, -122.31372223715796 47.44384535680046, -122.31374591806835 47.44382763172889, -122.31377204592665 47.44381156665526, -122.3138003691073 47.44379731629661, -122.31383061484254 47.44378501789322, -122.31386249184945 47.44377478988685, -122.31389569313504 47.44376673078002, -122.31392989895275 47.443760918187365, -122.31396477988189 47.4437574080881, -122.314 47.44375623428684, -122.31403522011807 47.4437574080881, -122.31407010104721 47.443760918187365, -122.31410430686492 47.44376673078002, -122.3141375081505 47.44377478988685, -122.31416938515741 47.44378501789322, -122.31419963089265 47.44379731629661, -122.3142279540733 47.44381156665526, -122.3142540819316 47.44382763172889, -122.31427776284198 47.44384535680046, -122.3142987687444 47.44386457116624, -122.31431689734045 47.44388508977986, -122.31433197404186 47.44390671503444, -122.31434385365182 47.443929238665696, -122.3143524217631 47.44395244375775, -122.31435759586017 47.44397610683212, -122.31435932611363 47.44399999999999, -122.31435759586017 47.444023893156945, -122.3143524217631 47.444047556198974, -122.31434385365182 47.44407076123852, -122.31433197404186 47.44409328479911, -122.31431689734045 47.44411490996757, -122.3142987687444 47.44413542848295, -122.31427776284198 47.44415464274213, -122.3142540819316 47.44417236770283, -122.3142279540733 47.444188432665605, -122.31419963089265 47.44420268291765, -122.31416938515741 47.444214981222785, -122.3141375081505 47.44422520914306, -122.31410430686492 47.44423326817921, -122.31407010104721 47.44423908071935, -122.31403522011807 47.44424259078628, -122.314 47.444243764576626, -122.31396477988189 47.44424259078628, -122.31392989895275 47.44423908071935, -122.31389569313504 47.44423326817921, -122.31386249184945 47.44422520914306, -122.31383061484254 47.444214981222785, -122.3138003691073 47.44420268291765, -122.31377204592665 47.444188432665605, -122.31374591806835 47.44417236770283, -122.31372223715796 47.44415464274213, -122.31370123125559 47.44413542848295, -122.31368310265951 47.44411490996757, -122.31366802595808 47.44409328479911, -122.31365614634814 47.44407076123852, -122.31364757823684 47.444047556198974, -122.31364240413977 47.444023893156945, -122.31364067388633 47.44399999999999))",40,LINESTRING Z EMPTY,0.0,0.0,24.0,0,0.0,0.0,36.73039076600001
727939,50224.89,"POLYGON ((-122.42024067388635 47.57626999999999, -122.42024240413978 47.576246167340926, -122.42024757823685 47.576222564192626, -122.42025614634818 47.5761994178668, -122.4202680259581 47.57617695127596, -122.42028310265954 47.57615538078668, -122.42030123125559 47.5761349141358, -122.42032223715798 47.57611574842978, -122.42034591806839 47.57609806824637, -122.42037204592668 47.57608204385699, -122.42040036910731 47.57606782958689, -122.42043061484256 47.57605556232877, -122.42046249184949 47.57604536022446, -122.42049569313507 47.57603732152704, -122.4205298989528 47.57603152365457, -122.42056477988189 47.5760280224445, -122.4206 47.57602685161585, -122.42063522011811 47.5760280224445, -122.42067010104721 47.57603152365457, -122.42070430686493 47.57603732152704, -122.42073750815051 47.57604536022446, -122.42076938515744 47.57605556232877, -122.42079963089269 47.57606782958689, -122.4208279540733 47.57608204385699, -122.42085408193161 47.57609806824637, -122.42087776284203 47.57611574842978, -122.4208987687444 47.5761349141358, -122.42091689734045 47.57615538078668, -122.4209319740419 47.57617695127596, -122.42094385365182 47.5761994178668, -122.42095242176315 47.576222564192626, -122.42095759586019 47.576246167340926, -122.42095932611363 47.57626999999999, -122.42095759586019 47.576293832648155, -122.42095242176315 47.57631743576413, -122.42094385365182 47.57634058203747, -122.4209319740419 47.57636304855767, -122.42091689734045 47.57638461896088, -122.4208987687444 47.57640508551356, -122.42087776284203 47.57642425111304, -122.42085408193161 47.57644193118563, -122.4208279540733 47.57645795546419, -122.42079963089269 47.57647216962774, -122.42076938515744 47.57648443678766, -122.42073750815051 47.576494638805904, -122.42070430686493 47.57650267743268, -122.42067010104721 47.57650847525265, -122.42063522011811 47.57651197643041, -122.4206 47.57651314724815, -122.42056477988189 47.57651197643041, -122.4205298989528 47.57650847525265, -122.42049569313507 47.57650267743268, -122.42046249184949 47.576494638805904, -122.42043061484256 47.57648443678766, -122.42040036910731 47.57647216962774, -122.42037204592668 47.57645795546419, -122.42034591806839 47.57644193118563, -122.42032223715798 47.57642425111304, -122.42030123125559 47.57640508551356, -122.42028310265954 47.57638461896088, -122.4202680259581 47.57636304855767, -122.42025614634818 47.57634058203747, -122.42024757823685 47.57631743576413, -122.42024240413978 47.576293832648155, -122.42024067388635 47.57626999999999))",40,LINESTRING Z EMPTY,0.0,0.0,23.0,1,1.9499320490203696e-08,2.4752212084984493e-07,20.25054839714289
746938,51919.64,"POLYGON ((-122.26014067388633 47.686189999999996, -122.26014240413978 47.68616621772052, -122.26014757823685 47.68614266446664, -122.26015614634814 47.686119567069525, -122.2601680259581 47.686097147970514, -122.26018310265951 47.686075623078786, -122.26020123125559 47.68605519969204, -122.26022223715798 47.6860360745001, -122.26024591806836 47.68601843169055, -122.26027204592665 47.68600244117487, -122.26030036910731 47.685988256952065, -122.26033061484256 47.68597601562549, -122.26036249184946 47.68596583508723, -122.26039569313507 47.685957813382664, -122.26042989895276 47.68595202776621, -122.26046477988189 47.68594853395728, -122.2605 47.685947365603624, -122.2605352201181 47.68594853395728, -122.26057010104721 47.68595202776621, -122.26060430686493 47.685957813382664, -122.26063750815051 47.68596583508723, -122.26066938515741 47.68597601562549, -122.26069963089269 47.685988256952065, -122.2607279540733 47.68600244117487, -122.26075408193161 47.68601843169055, -122.260777762842 47.6860360745001, -122.2607987687444 47.68605519969204, -122.26081689734045 47.686075623078786, -122.26083197404188 47.686097147970514, -122.26084385365182 47.686119567069525, -122.26085242176312 47.68614266446664, -122.26085759586019 47.68616621772052, -122.26085932611363 47.686189999999996, -122.26085759586019 47.686213782268574, -122.26085242176312 47.68623733549015, -122.26084385365182 47.686260432834786, -122.26083197404188 47.68628285186318, -122.26081689734045 47.686304376668886, -122.2607987687444 47.68632479995746, -122.260777762842 47.68634392504289, -122.26075408193161 47.68636156774167, -122.2607279540733 47.686377558146596, -122.26069963089269 47.68639174226289, -122.26066938515741 47.68640398349131, -122.26063750815051 47.68641416394354, -122.26060430686493 47.68642218557749, -122.26057010104721 47.68642797114148, -122.2605352201181 47.686431464918094, -122.2605 47.68643263326085, -122.26046477988189 47.686431464918094, -122.26042989895276 47.68642797114148, -122.26039569313507 47.68642218557749, -122.26036249184946 47.68641416394354, -122.26033061484256 47.68640398349131, -122.26030036910731 47.68639174226289, -122.26027204592665 47.686377558146596, -122.26024591806836 47.68636156774167, -122.26022223715798 47.68634392504289, -122.26020123125559 47.68632479995746, -122.26018310265951 47.686304376668886, -122.2601680259581 47.68628285186318, -122.26015614634814 47.686260432834786, -122.26014757823685 47.68623733549015, -122.26014240413978 47.686213782268574, -122.26014067388633 47.686189999999996))",40,"MULTILINESTRING ((-13610016.258564562 6023198.657128727, -13609978.984518098 6023199.056755227, -13609964.24578468 6023199.214840771, -13609943.906623531 6023196.314790948), (-13609943.906623531 6023196.314790948, -13609936.681942372 6023195.2891870905), (-13609943.906623531 6023196.314790948, -13609939.802314764 6023178.073700269))",98.55488828089412,10.75,23.0,0,2.084134095463287e-08,0.0,34.99785339500002
